day,macro_f1,trade_time,winrate,usefulrate,drowdown,return,hold,,,,,,,,
0,0.633290636,7794,0.797023351,0.631680618,0.002360852,0.079143201,-0.086671531,,,,,0.079143201,0.063276456,0.019565322,0.053131095
1,0.593353513,9050,0.761657459,0.625997389,0.001406892,0.063276456,-0.007280111,,,,,0.277265324,0.298940783,0.555383695,0.708967897
2,0.552561918,2475,0.762424242,0.613142554,0.00092541,0.019565322,-0.026477456,,,,,0.128797698,0.032328591,0.032962383,0.072994994
3,0.556722662,7033,0.750177734,0.637604246,0.000858611,0.053131095,-0.021993935,,,,,0.068502797,0.07543321,0.077172416,0.063818775
4,0.528373701,17852,0.824725521,0.694967058,0.00070175,0.277265324,-0.092730939,,,,,0.068502797,0.07543321,0.077172416,0.063818775
5,0.385420073,22739,0.81362417,0.676503973,0.001498902,0.298940783,-0.011088073,,,,,0.010461818,0.016069041,0.054439692,0.039845228
6,0.365818912,24185,0.816415133,0.742213219,0.000546182,0.555383695,-0.062291145,,,,,0.046744954,0.082923525,0.085202368,0.012287451
7,0.322399867,27714,0.816699141,0.781921004,0.001457717,0.708967897,-0.001849055,,,,,0.008726089,0.054453574,0.040599891,0.053662632
8,0.446249802,5120,0.769335937,0.786747906,0.000796952,0.128797698,0.032752633,,,,,0.05924105,0.04384658,0.010280884,0.012644592
9,0.383835443,2503,0.662804634,0.749849307,0.002984829,0.032328591,0.014588475,,,,,0.057517792,0.107239117,0.123799909,0.045100919
10,0.38209706,2482,0.673247381,0.740873728,0.001282424,0.032962383,0.029000401,,,,,0.107518791,0.102218977,-0.033569064,-0.123845086
11,0.451749865,4403,0.75107881,0.740550348,0.002072872,0.072994994,-0.035710454,,,,,0.01906478,0.061626175,0.005584158,0.000918438
12,0.538786789,5209,0.799385679,0.669548511,0.000562069,0.068502797,0.010552883,,,,,0.077623924,0.084482437,0.087382839,0.083612143
13,0.540858044,5812,0.802133517,0.678035178,0.000455937,0.07543321,-0.045300484,,,,,,,,
14,0.551735558,6449,0.817491084,0.657245827,0.00042403,0.077172416,0.04042685,,,,,,,,
15,0.537338492,5170,0.796518375,0.661971831,0.000634248,0.063818775,-0.034826219,,,,,,,,
16,0.478114013,2189,0.707629054,0.612653325,0.001101681,0.010461818,0.008763075,,,,,,,,
17,0.502619051,2795,0.690876565,0.631796996,0.002357955,0.016069041,0.029282689,,,,,,,,
18,0.561999805,4950,0.770505051,0.662821185,0.001041809,0.054439692,-0.035875738,,,,,,,,
19,0.531206573,3615,0.739972337,0.687102804,0.001648476,0.039845228,0.014358401,,,,,,,,
20,0.554902747,4156,0.763955727,0.651338583,0.000642132,0.046744954,0.005700827,,,,,,,,
21,0.58078355,5138,0.777345271,0.686029044,0.000734264,0.082923525,-0.009254098,,,,,,,,
22,0.567209476,6247,0.779254042,0.682415776,0.000480297,0.085202368,-0.02273953,,,,,,,,
23,0.538512739,1839,0.716150082,0.630220197,0.001227641,0.012287451,0.005147576,,,,,,,,
24,0.536251555,1431,0.739343117,0.620982987,0.000541624,0.008726089,0.015030861,,,,,,,,
25,0.564239274,3368,0.758016627,0.685859773,0.00164227,0.054453574,0.078645945,,,,,,,,
26,0.577505905,4054,0.769610261,0.64775641,0.001251954,0.040599891,0.002600789,,,,,,,,
27,0.595240804,4553,0.773336262,0.666571997,0.00100237,0.053662632,-0.067028224,,,,,,,,
28,0.595900381,3794,0.8099631,0.659290596,0.000498683,0.05924105,0.024565578,,,,,,,,
29,0.59200057,3250,0.788,0.674345959,0.000533959,0.04384658,-0.025275588,,,,,,,,
30,0.546320962,1436,0.752785515,0.568917669,0.000676202,0.010280884,0.002671599,,,,,,,,
31,0.552287246,1515,0.766336634,0.59086994,0.000723753,0.012644592,0.00660193,,,,,,,,
32,0.603907802,4213,0.830524567,0.657616462,0.000566863,0.057517792,0.046278238,,,,,,,,
33,0.614694379,5231,0.82469891,0.704682429,0.0004378,0.107239117,-0.004026175,,,,,,,,
34,0.596522115,5718,0.838405037,0.716937839,0.000384976,0.123799909,-0.031996906,,,,,,,,
35,0.598332386,3053,0.824762529,0.671564734,0.000252809,0.045100919,-0.008506954,,,,,,,,
36,0.670467008,4181,0.893566133,0.721092077,0.000695307,0.107518791,-0.029208601,,,,,,,,
37,0.680421422,4009,0.896732352,0.729624478,0.000331692,0.102218977,-0.018221855,,,,,,,,
38,0.475506669,6300,0.559206349,0.619074652,0.037924659,-0.033569064,-0.056948841,,,,,,,,
39,0.284736121,12788,0.473177979,0.730292514,0.124272204,-0.123845086,-0.163339019,,,,,,,,
40,0.384564612,7080,0.564265537,0.708385482,0.010482838,0.01906478,-0.044496298,,,,,,,,
41,0.410606075,9418,0.582289233,0.688001459,0.011890934,0.061626175,0.042402267,,,,,,,,
42,0.404460801,6236,0.587395767,0.665847666,0.010310175,0.005584158,-0.094269991,,,,,,,,
43,0.417380942,5154,0.599340318,0.659436711,0.003654081,0.000918438,0.004249573,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
all,0.589646854,26292,0.768788985,0.630040073,0.002366941,0.215192136,-0.136011124,,,,,,,,
all,0.409971314,92593,0.816940805,0.731012784,0.001073248,1.849742092,-0.158636093,,,,,,,,
all,0.418568058,14470,0.727228749,0.760904685,0.002691533,0.263951007,0.039919496,,,,,,,,
all,0.542437169,22661,0.804421694,0.666081518,0.000561904,0.284453441,-0.029113829,,,,,,,,
all,0.524243121,13502,0.740038513,0.655424339,0.001930164,0.123302797,0.015250683,,,,,,,,
all,0.570252367,17381,0.768425292,0.671308775,0.001000967,0.227351633,-0.021227717,,,,,,,,
all,0.579515132,13407,0.764003879,0.66211071,0.001690699,0.158251616,0.025803208,,,,,,,,
all,0.582744147,9995,0.788594297,0.642857143,0.000651316,0.126155523,0.009094596,,,,,,,,
all,0.604755816,18215,0.830359594,0.691041322,0.000566833,0.333779008,0.001190066,,,,,,,,
all,0.534280618,26895,0.627886224,0.701012613,0.124169014,0.066378088,-0.248160899,,,,,,,,
all,0.404788087,25491,0.584480797,0.674474797,0.015371739,0.06097198,-0.095256925,,,,,,,,
